,model,cena,link
109,iphone 12 64gb,900 zł,https://www.olx.pl/d/oferta/iphone-12-64gb-granatowy-CID99-ID105SOg.html
110,iphone 15 pro max 512 gb,4 700 zł,https://www.olx.pl/d/oferta/iphone-15-pro-max-512-gb-CID99-ID106vfS.html
111,iphone 15 pro max 512 gb,4 700 zł,https://www.olx.pl/d/oferta/iphone-15-pro-max-512-gb-CID99-ID106vfS.html
112,i,1 100 zł,https://www.olx.pl/d/oferta/iphone-13-pro-max-CID99-ID106sgH.html
113,i,1 100 zł,https://www.olx.pl/d/oferta/iphone-13-pro-max-CID99-ID106sgH.html
114,i,750 zł,https://www.olx.pl/d/oferta/iphone-11-pro-max-pobity-CID99-ID106yhR.html
115,i,750 zł,https://www.olx.pl/d/oferta/iphone-11-pro-max-pobity-CID99-ID106yhR.html
116,iphone 11 pro 256 gb,1 350 zł,https://www.olx.pl/d/oferta/iphone-11-pro-256-gb-zloty-CID99-ID104Kln.html
117,iphone 11 pro 256 gb,1 350 zł,https://www.olx.pl/d/oferta/iphone-11-pro-256-gb-zloty-CID99-ID104Kln.html
118,iphone 14 pro max 256 gb,3 999 zł,https://www.olx.pl/d/oferta/iphone-14-pro-max-256-gb-deep-purple-97-kondycji-bateri-gwarancja-CID99-IDYDzF4.html
119,iphone 14 pro max 256 gb,3 999 zł,https://www.olx.pl/d/oferta/iphone-14-pro-max-256-gb-deep-purple-97-kondycji-bateri-gwarancja-CID99-IDYDzF4.html
120,iphone 15 pro max 256gb,5 300 zł,https://www.olx.pl/d/oferta/iphone-15-pro-max-256gb-tytan-niebieski-blekitny-5300zl-zelazna-89-CID99-IDVtYc8.html
121,iphone 15 pro max 256gb,5 300 zł,https://www.olx.pl/d/oferta/iphone-15-pro-max-256gb-tytan-niebieski-blekitny-5300zl-zelazna-89-CID99-IDVtYc8.html
122,iphone 13 pro 128gb,2 000 zł,https://www.olx.pl/d/oferta/iphone-13-pro-128gb-CID99-ID105Sdj.html
123,iphone 13 pro 128gb,2 000 zł,https://www.olx.pl/d/oferta/iphone-13-pro-128gb-CID99-ID105Sdj.html
124,iphone 15 pro max 256 gb,4 000 zł,https://www.olx.pl/d/oferta/iphone-15-pro-max-256-gb-CID99-ID106gUD.html
125,iphone 15 pro max 256 gb,4 000 zł,https://www.olx.pl/d/oferta/iphone-15-pro-max-256-gb-CID99-ID106gUD.html
